transaction_id,customer_id,product,category,price,quantity,discount,calculated_total,order_type,campaign,status,timestamp
1001,C001,Laptop Pro,Electronics,1200.00,1,0.00,1200.00,unknown,None,completed,2023-10-01 10:00:00
1002,C002,Coffee Mug,Home,15.50,2,0.00,31.00,unknown,None,completed,2023-10-01 10:05:00
1003,C003,Wireless Mouse,Electronics,25.99,5,0.00,129.95,unknown,None,completed,2023-10-01 10:15:00
1004,C004,Office Chair,Furniture,150.00,1,0.00,150.00,unknown,None,completed,2023-10-01 10:30:00
1005,C001,HDMI Cable,Electronics,12.00,10,0.00,120.00,unknown,None,completed,2023-10-01 11:00:00
1006,C005,Desk Lamp,Home,45.00,3,0.00,135.00,unknown,None,completed,2023-10-01 11:10:00
1007,C006,Gaming Monitor,Electronics,350.50,2,0.00,701.00,unknown,None,completed,2023-10-01 11:45:00
1008,C007,Notepad,Stationery,3.00,50,0.00,150.00,unknown,None,completed,2023-10-01 12:00:00
1009,C008,Pen Set,Stationery,12.50,10,0.00,125.00,unknown,None,completed,2023-10-01 12:15:00
1010,C003,USB-C Hub,Electronics,55.00,4,0.00,220.00,unknown,None,completed,2023-10-01 13:00:00
2001,C001,Laptop Pro,Electronics,1200.00,1,0.10,1080.00,online,Asia,completed,2023-10-01 10:00:00
2002,C002,Coffee Mug,Home,15.50,2,0.00,31.00,online,Asia,completed,2023-10-01 10:05:00
2003,C003,Wireless Mouse,Electronics,25.99,5,0.05,123.45,online,Europe,completed,2023-10-01 10:15:00
2004,C004,Office Chair,Furniture,150.00,1,0.15,127.50,offline,Asia,completed,2023-10-01 10:30:00
2005,C001,HDMI Cable,Electronics,12.00,10,0.00,120.00,online,Asia,completed,2023-10-01 11:00:00
2006,C005,Desk Lamp,Home,45.00,3,0.10,121.50,online,US,completed,2023-10-01 11:10:00
2007,C006,Gaming Monitor,Electronics,350.50,2,0.20,560.80,online,Europe,completed,2023-10-01 11:45:00
2008,C007,Notepad,Stationery,3.00,50,0.00,150.00,offline,Asia,completed,2023-10-01 12:00:00
2009,C008,Pen Set,Stationery,12.50,10,0.05,118.75,offline,US,refunded,2023-10-01 12:15:00
2010,C003,USB-C Hub,Electronics,55.00,4,0.00,220.00,online,Europe,completed,2023-10-01 13:00:00
